author,title,source,type,doi
CAIN G D; WELSHMAN I R,EFFECT OF DIETARY TETRA PYRROLES ON GUT PIGMENTATION AND PERI ENTERIC FLUID HEMO GLOBIN CONCENTRATION IN ASCARIS-LUMBRICOIDES,International Journal for Parasitology,J,https://doi.org/10.1016/0020-7519(73)90087-8
"PUTNAM, FW; KOZLOFF, LM; NEIL, JC",BIOCHEMICAL STUDIES OF VIRUS REPRODUCTION .1. PURIFICATION AND PROPERTIES OF ESCHERICHIA COLI BACTERIOPHAGE-T6,JOURNAL OF BIOLOGICAL CHEMISTRY,J,NA
"Kashinskaya, Elena N.; Simonov, Evgeniy P.; Izvekova, Galina I.; Parshukov, Aleksey N.; Andree, Karl B.; Solovyev, Mikhail M.",Composition of the microbial communities in the gastrointestinal tract of perch (Perca fluviatilis L. 1758) and cestodes parasitizing the perch digestive tract,JOURNAL OF FISH DISEASES,J,https://doi.org/10.1111/jfd.13096
"Lane, Beth; Spier, Timothy; Wiederholt, Julia; Meagher, Shawn",HOST SPECIFICITY OF A PARASITIC FLUKE: IS POSTHODIPLOSTOMUM MINIMUM A CENTRARCHID-INFECTING GENERALIST OR SPECIALIST?,JOURNAL OF PARASITOLOGY,J,https://doi.org/10.1645/14-584.1
"Van den Bossche, Sara; De Broe, Emma; Coenye, Tom; Van Braeckel, Eva; Crabbe, Aurelie",The cystic fibrosis lung microenvironment alters antibiotic activity: causes and effects,EUROPEAN RESPIRATORY REVIEW,J,https://doi.org/10.1183/16000617.0055-2021
"Huang, X; Springer, PS; Kaloshian, I",Expression of the Arabidopsis MCM gene PROLIFERA during root-knot and cyst nematode infection,PHYTOPATHOLOGY,J,https://doi.org/10.1094/PHYTO.2003.93.1.35
"Ho, Ju-Shey; Lin, Ching-Long",Three species of Caligus (Copepoda: Caligidae) parasitic on fishes of the northeast coast of Taiwan.,Journal of the Fisheries Society of Taiwan,J,NA
"Woodmansey, E. J.",Intestinal bacteria and ageing,JOURNAL OF APPLIED MICROBIOLOGY,J,https://doi.org/10.1111/j.1365-2672.2007.03400.x
"Stiling, P; Rossi, AM",Complex effects of genotype and environment on insect herbivores and their enemies,ECOLOGY,J,https://doi.org/10.2307/2265714
"Sander, Sarah E.; Altizer, Sonia; de Roode, Jacobus C.; Davis, Andrew K.",Y Genetic Factors and Host Traits Predict Spore Morphology for a Butterfly Pathogen.,Insects,J,NA
"Lovell-Read, Francesca A.; Funk, Sebastian; Obolski, Uri; Donnelly, Christl A.; Thompson, Robin N.",Interventions targeting non-symptomatic cases can be important to prevent local outbreaks: SARS-CoV-2 as a case study,JOURNAL OF THE ROYAL SOCIETY INTERFACE,J,https://doi.org/10.1098/rsif.2020.1014
"Das, Guerbuez; Abel, Hansjoerg; Humburg, Julia; Schwarz, Anna; Rautenschlein, Silke; Breves, Gerhard; Gauly, Matthias",Non-starch polysaccharides alter interactions between Heterakis gallinarum and Histomonas meleagridis,VETERINARY PARASITOLOGY,J,https://doi.org/10.1016/j.vetpar.2010.11.004
"Faust, E. C.; Kellogg, C. R.","Parasitic infections in the Foochow area, Fukien province, China.",Journal of Tropical Medicine and Hygiene,J,NA
"Brehm, K.; Koziol, U.",Echinococcus-Host Interactions at Cellular and Molecular Levels,"ECHINOCOCCUS AND ECHINOCOCCOSIS, PT A",S,https://doi.org/10.1016/bs.apar.2016.09.001
"Nadeau, Rachel; Fard, Soroush Shahryari; Scheer, Amit; Hashimoto-Roth, Emily; Nygard, Dallas; Abramchuk, Iryna; Chung, Yun-En; Bennett, Steffany A. L.; Lavallee-Adam, Mathieu",Computational Identification of Human Biological Processes and Protein Sequence Motifs Putatively Targeted by SARS-CoV-2 Proteins Using Protein-Protein Interaction Networks,JOURNAL OF PROTEOME RESEARCH,J,https://doi.org/10.1021/acs.jproteome.0c00422
"Margolis, L; Groff, JM; Johnson, SC; McDonald, TE; Kent, ML; Blaylock, RB","Helminth parasites of sea otters (Enhydra lutris) from Prince William Sound, Alaska: Comparisons with other populations of sea otters and comments on the origin of their parasites",JOURNAL OF THE HELMINTHOLOGICAL SOCIETY OF WASHINGTON,J,NA
Li Mao-Ye; Lin Hua-Feng; Jin Li; Zhang Song-Ying,Observations on infection of Nilaparvata lugens by Metarhizium flavoviride using a scanning electron microscope,Chinese Journal of Applied Entomology,J,NA
"Forester, Natasha T.; Lane, Geoffrey A.; Steringa, Melle; Lamont, Lain L.; Johnson, Linda J.",Contrasting roles of fungal siderophores in maintaining iron homeostasis in Epichloe festucae,FUNGAL GENETICS AND BIOLOGY,J,https://doi.org/10.1016/j.fgb.2017.11.003
STYLIANOU E; MACKENZIE R; DAVIES M; COLES G A; WILLIAMS J D,THE INTERACTION OF ORGANISM PHAGOCYTE MESOTHELIAL CELL,"COLES, G. A., M. DAVIES AND J. D. WILLIAMS (ED.). CONTRIBUTIONS TO NEPHROLOGY, VOL. 85. CAPD: HOST DEFENSE, NUTRITION AND ULTRAFILTRATION; CONFERENCE ON CURRENT TOPICS IN CAPD, LONDON, ENGLAND, UK, NOVEMBER 13-14, 1989. VIII+172P. S. KARGER AG: BASEL, SWITZERLAND; NEW YORK, NEW YORK, USA. ILLUS",S,NA
"Luna, Brian M.; Ershova, Ksenia; Yan, Jun; Ulhaq, Amber; Nielsen, Travis B.; Hsieh, Sarah; Pantapalangkoor, Paul; Vanscoy, Brian; Ambrose, Paul; Rudin, Sue; Hujer, Kristine; Bonomo, Robert A.; Actis, Luis; Skaar, Eric P.; Spellberg, Brad",Adjunctive transferrin to reduce the emergence of antibiotic resistance in Gram-negative bacteria,JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,J,https://doi.org/10.1093/jac/dkz225
"Petrzelkova, Klara J.; Schovancova, Katerina; Profousova, Ilona; Kisidayova, Svetlana; Varadyova, Zora; Pekar, Stano; Kamler, Jiri; Modry, David",The Effect of Low- and High-Fiber Diets on the Population of Entodiniomorphid Ciliates Troglodytella Abrassarti in Captive Chimpanzees (Pan Troglodytes),AMERICAN JOURNAL OF PRIMATOLOGY,J,https://doi.org/10.1002/ajp.22021
"Carter, Lucy M.; Schneider, Petra; Reece, Sarah E.",Information use and plasticity in the reproductive decisions of malaria parasites,MALARIA JOURNAL,J,https://doi.org/10.1186/1475-2875-13-115
"AYANRU, DKG",RELATIONS BETWEEN MOSAIC DISEASE INFECTIONS AND TOTAL CYANIDE LEVELS IN CASSAVA LEAVES,TROPICAL AGRICULTURE,J,NA
"Zadoks, RN; Allore, HG; Hagenaars, TJ; Barkema, HW; Schukken, YH",A mathematical model of Staphylococcus aureus control in dairy herds,EPIDEMIOLOGY AND INFECTION,J,https://doi.org/10.1017/S0950268802007483
"Singh, Bhawana; Singh, Siddharth Sankar; Sundar, Shyam",Hepcidin mediated iron homoeostasis as immune regulator in visceral leishmaniasis patients,PARASITE IMMUNOLOGY,J,https://doi.org/10.1111/pim.12601
"Garrean, Carol; Hirano, Ikuo",Eosinophilic esophagitis: pathophysiology and optimal management.,Current gastroenterology reports,J,NA
"Kim, Young Cheol; Anderson, Anne J.",Rhizosphere pseudomonads as probiotics improving plant health,MOLECULAR PLANT PATHOLOGY,J,https://doi.org/10.1111/mpp.12693
"Michalik, Anna; Schulz, Frederik; Michalik, Katarzyna; Wascher, Florian; Horn, Matthias; Szklarzewicz, Teresa","Coexistence of novel gammaproteobacterial and Arsenophonus symbionts in the scale insect Greenisca brachypodii (Hemiptera, Coccomorpha: Eriococcidae)",ENVIRONMENTAL MICROBIOLOGY,J,https://doi.org/10.1111/1462-2920.14057
"Bettelheim, KA","Non-O157 verotoxin-producing Escherichia coli: A problem, paradox, and paradigm",EXPERIMENTAL BIOLOGY AND MEDICINE,J,https://doi.org/10.1177/153537020322800402
"Sohnle, PG",Antimicrobial defence through competition for zinc,REVIEWS IN MEDICAL MICROBIOLOGY,J,NA
"Uauy, Ricardo",Academic-industry partnerships in addressing nutrition - [Infection-immunity-inflammation] interactions,BRITISH JOURNAL OF NUTRITION,J,https://doi.org/10.1017/S0007114507832892
"Sosa-Gomez, DR; Borges, E; Viera, IHTL; Costa, F; Oliveira, CN","Trypanosomatid prevalence in Nezara viridula (L.), Euschistus heros (Fabricius) and Piezodorus guildinii (Westwood) (Heteroptera : Pentatomidae) Populations in Northern Parana, Brazil",NEOTROPICAL ENTOMOLOGY,J,https://doi.org/10.1590/S1519-566X2005000200025
"Lopez-Berges, Manuel S.; Rispail, Nicolas; Prados-Rosales, Rafael C.; Di Pietro, Antonio",A nitrogen response pathway regulates virulence in plant pathogenic fungi Role of TOR and the bZIP protein MeaB,Plant Signaling & Behavior,J,https://doi.org/10.4161/psb.5.12.13729
"Ingale, S. L.; Mulik, S. V.; Amol Suryawanshi; Someshwar Zadbuke",Nutrition-parasite interaction - a review.,Agricultural Reviews,J,NA
"BEAMAN, BL",ULTRASTRUCTURAL ANALYSIS OF GROWTH OF NOCARDIA-ASTEROIDES DURING INVASION OF THE MURINE BRAIN,INFECTION AND IMMUNITY,J,https://doi.org/10.1128/IAI.61.1.274-283.1993
"Zeppa, Sabrina Donati; Agostini, Deborah; Gervasi, Marco; Annibalini, Giosue; Amatori, Stefano; Ferrini, Fabio; Sisti, Davide; Piccoli, Giovanni; Barbieri, Elena; Sestili, Piero; Stocchi, Vilberto","Mutual Interactions among Exercise, Sport Supplements and Microbiota",NUTRIENTS,J,https://doi.org/10.3390/nu12010017
"Miyake, T; Ikoma, H; Hoshima, M; Yamane, E; Hasegawa, H; Arizono, N",Case of acute ileus caused by a spirurina larva,PATHOLOGY INTERNATIONAL,J,https://doi.org/10.1111/j.1440-1827.2004.01687.x
"Pretto, T.; Vetri, A.; Tosi, F.; Ravagnan, S.; Michelutti, A.; Kapllan, S.; Quaglio, F.; Arcangeli, G.",LARVAL STAGES OF SULCASCARIS SULCATA (NEMATODA: ANISAKIDAE) IN SCALLOPS FROM THE NORTHERN ADRIATIC SEA: IMPLICATIONS FOR SEAFOOD CONTROL AND SURVEILLANCE,ITALIAN JOURNAL OF FOOD SCIENCE,J,NA
"FOSTER, A. 0.; JOHNSON, C. M.",An explanation for the occurrence of Capillaria hepatica ova in human faeces suggested by the finding of three new hosts used as food,TRANS ROY SOC TROP MED AND HYG,J,https://doi.org/10.1016/S0035-9203(39)90027-1
"Islam, Md Zohorul; Larsen, Jesper; Skov, Robert; Angen, Oystein",Carry-over of host nutrients during sampling enhances undesired growth of Staphylococcus aureus in liquid Amies transport medium,DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,J,https://doi.org/10.1016/j.diagmicrobio.2018.07.009
"Edgar, Rachel S.; Stangherlin, Alessandra; Nagy, Andras D.; Nicoll, Michael P.; Efstathiou, Stacey; O'Neill, John S.; Reddy, Akhilesh B.",Cell autonomous regulation of herpes and influenza virus infection by the circadian clock,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,J,https://doi.org/10.1073/pnas.1601895113
"Zang, Lian-Sheng; Liu, Tong-Xian",Effects of Food Deprivation on Host Feeding and Parasitism of Whitefly Parasitoids,ENVIRONMENTAL ENTOMOLOGY,J,https://doi.org/10.1603/EN09266
"Martinez, Kristina B.; Leone, Vanessa; Chang, Eugene B.","Western diets, gut dysbiosis, and metabolic diseases: Are they linked?",GUT MICROBES,J,https://doi.org/10.1080/19490976.2016.1270811
"Levander, OA",Nutrition and newly emerging viral diseases: An overview,JOURNAL OF NUTRITION,J,https://doi.org/10.1093/jn/127.5.948S
"Pokharel, Ramesh R.; Abawi, George S.; Zhang, Ning; Duxbury, John M.; Smarti, Christine D.",Characterization of isolates of Meloidogyne from rice-wheat production fields in Nepal,JOURNAL OF NEMATOLOGY,J,NA
"SAENZ, JA; FOURNIER, LA",ENTEROLOBIUM-CYCLOCARPUM (JACQ) GRIS 9 NEW HOST FOR RAVENELIA-LAGERTHEIMIANA DIET,TURRIALBA,J,NA
"Santos, CP; Rohde, K; Ramos, R; DiBeneditto, AP; Capistrano, L",Helminths of cetaceans on the southeastern coast of Brazil,JOURNAL OF THE HELMINTHOLOGICAL SOCIETY OF WASHINGTON,J,NA
"Chung, JY; Bae, YA; Na, BK; Kong, Y",Cysteine protease inhibitors as potential antiparasitic agents,EXPERT OPINION ON THERAPEUTIC PATENTS,J,https://doi.org/10.1517/13543776.15.8.995
"Hesse, Laura E.; Lonergan, Zachery R.; Beavers, William N.; Skaar, Eric P.",The Acinetobacter baumannii Znu System Overcomes Host-Imposed Nutrient Zinc Limitation,INFECTION AND IMMUNITY,J,https://doi.org/10.1128/IAI.00746-19
"O'Donnell, Aidan J.; Prior, Kimberley F.; Reece, Sarah E.",Host circadian clocks do not set the schedule for the within-host replication of malaria parasites,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,J,https://doi.org/10.1098/rspb.2020.0347
"Urabe, Misako",Experimental infection of the digeneans to some congeneric snail species radiated in a single water system: Relative importance of local evolution and phylogenetic constraint,PARASITOLOGY INTERNATIONAL,J,https://doi.org/10.1016/j.parint.2016.01.003
"vanderLinde, EJ; Rong, IH",New and interesting records of South African fungi .15. Two new Laboulbeniales records from South Africa,SOUTH AFRICAN JOURNAL OF BOTANY,J,https://doi.org/10.1016/S0254-6299(15)30712-2
"Hanafi, Ihab Sheikh; Gupta, Akash; Ayar, Mirat; Doke, Saloni",Influence of Gut Microbiome on Induction of Obesity,FASEB JOURNAL,J,NA
"Zeman, P.",Cyclic patterns in the central European tick-borne encephalitis incidence series,EPIDEMIOLOGY AND INFECTION,J,https://doi.org/10.1017/S0950268816002223
"States, S. L.; Huang, C. I.; Davis, S.; Tufts, D. M.; Diuk-Wasser, M. A.","Co-feeding transmission facilitates strain coexistence in Borrelia burgdorferi, the Lyme disease agent",EPIDEMICS,J,https://doi.org/10.1016/j.epidem.2016.12.002
"Pitala, Natalia; Siitari, Heli; Gustafsson, Lars; Brommer, Jon E.",Costs and Benefits of Experimentally Induced Changes in the Allocation of Growth versus Immune Function under Differential Exposure to Ectoparasites,PLOS ONE,J,https://doi.org/10.1371/journal.pone.0010814
"Torelli, A; Trotta, A; Acerbi, L; Arcidiacono, G; Berta, G; Branca, C","IAA and ZR content in leek (Allium porrum L.), as influenced by P nutrition and arbuscular mycorrhizae, in relation to plant development",PLANT AND SOIL,J,https://doi.org/10.1023/A:1026430019738
BERGMANN E C; IMENES S D L; CAMPOS T B; HOJO H; TAKEMATSU A P,CONTRIBUTION TO THE KNOWLEDGE OF TOMATO LYCOPERSICON-ESCULENTUM ENTOMOFAUNA BY WATER TRAPS CAPTURES,Anais da Sociedade Entomologica do Brasil,J,NA
"FUJISHIMA, M; NAGAHARA, K; KOJIMA, Y; SAYAMA, Y",SENSITIVITY OF THE INFECTIOUS LONG FORM OF THE MACRONUCLEAR ENDOSYMBIONT HOLOSPORA-OBTUSA OF THE CILIATE PARAMECIUM-CAUDATUM AGAINST CHEMICAL AND PHYSICAL FACTORS,EUROPEAN JOURNAL OF PROTISTOLOGY,J,https://doi.org/10.1016/S0932-4739(11)80333-0
"Jakeer, Shaik; Varma, Mahendra; Sharma, Juhi; Mattoo, Farnaz; Gupta, Dinesh; Singh, Joginder; Kumar, Manoj; Gaur, Naseem A.",Metagenomic analysis of the fecal microbiome of an adult elephant reveals the diversity of CAZymes related to lignocellulosic biomass degradation,SYMBIOSIS,J,https://doi.org/10.1007/s13199-020-00695-8
"SCHILLER, EVERETT L.","Experimental studies on morphological variation in the cestode genus Hymenolepis. II. Growth, development and reproduction of the strobilate phase of H. nana in different mammalian host species",EXPTL PARASITOL,J,https://doi.org/10.1016/0014-4894(59)90021-9
"BURET, A; GALL, DG; OLSON, ME","EFFECTS OF MURINE-GIARDIASIS ON GROWTH, INTESTINAL MORPHOLOGY, AND DISACCHARIDASE ACTIVITY",JOURNAL OF PARASITOLOGY,J,https://doi.org/10.2307/3282675
"GUILDAL, J. A.",Investigations on the endoparasitic fauna of the Scandinavian-Baltic population of the herring gull (Larus argentatus Pontoppidan 1763) A qualitative and quantitative study. Contributions to the parasitic fauna of Denmark No. 3,KONG VET LANDBOHOJSK ARSSKR 1968,J,NA
"Beguinot, Jean",Quantifying the gap between the actual incidence of leaf-mining or leaf-galling insects and the proportion of host-leaves potentially acceptable by them,ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE,J,https://doi.org/10.1080/00379271.2012.10697765
"Yokoyama, Victoria Y.; Wang, Xin-Geng; Aldana, Alicia; Caceres, Carlos E.; Yokoyama-Hatch, Hana A.; Rendon, Pedro A.; Johnson, Marshall W.; Daane, Kent M.",Performance Of Psyttalia Humilis (Hymenoptera: Braconidae) Reared From Irradiated Host on Olive Fruit Fly ( Diptera: Tephritidae) In California,ENVIRONMENTAL ENTOMOLOGY,J,https://doi.org/10.1603/EN11252
"Terradas, Gerard; Joubert, D. Albert; McGraw, Elizabeth A.",The RNAi pathway plays a small part in Wolbachia-mediated blocking of dengue virus in mosquito cells,SCIENTIFIC REPORTS,J,https://doi.org/10.1038/srep43847
"Kalogianni, Eleni; Kmentova, Nikol; Harris, Eileen; Zimmerman, Brian; Giakoumi, Sofia; Chatzinikolaou, Yorgos; Vanhove, Maarten P. M.",Occurrence and effect of trematode metacercariae in two endangered killifishes from Greece,PARASITOLOGY RESEARCH,J,https://doi.org/10.1007/s00436-017-5610-z
"Jung, Won Hee; Saikia, Sanjay; Hu, Guanggan; Wang, Joyce; Fung, Carlen Ka-Yin; D'Souza, Cletus; White, Rick; Kronstad, James W.",HapX Positively and Negatively Regulates the Transcriptional Response to Iron Deprivation in Cryptococcus neoformans,PLOS PATHOGENS,J,https://doi.org/10.1371/journal.ppat.1001209
"Ganley, Rebecca J.; Newcombe, George",Fungal endophytes in seeds and needles of Pinus monticola,MYCOLOGICAL RESEARCH,J,https://doi.org/10.1016/j.mycres.2005.10.005
"VINIKOUR, WS; ANDERSON, RV",DIPTERA LARVAE (EMPIDIDAE AND CHIRONOMIDAE) IN TRICHOPTERA PUPAL CASES (GLOSSOSOMATIDAE AND LIMNEPHILIDAE),ENTOMOLOGICAL NEWS,J,NA
"Jaffuel, Geoffrey; Krishnamani, Sribala; Machado, Ricardo A. R.; Campos-Herrera, Raquel; Turlings, Ted C. J.",Potent Ant Deterrents Emitted from Nematode-Infected Insect Cadavers,JOURNAL OF CHEMICAL ECOLOGY,J,https://doi.org/10.1007/s10886-021-01320-8
"Wille, Michelle; Avril, Alexis; Tolf, Conny; Schager, Anna; Larsson, Sara; Borg, Olivia; Olsen, Bjorn; Waldenstrom, Jonas","Temporal dynamics, diversity, and interplay in three components of the virodiversity of a Mallard population: Influenza A virus, avian paramyxovirus and avian coronavirus",INFECTION GENETICS AND EVOLUTION,J,https://doi.org/10.1016/j.meegid.2014.11.014
"Jupatanakul, Natapong; Sim, Shuzhen; Dimopoulos, George",The Insect Microbiome Modulates Vector Competence for Arboviruses,VIRUSES-BASEL,J,https://doi.org/10.3390/v6114294
"Saka, Hector Alex; Thompson, J. Will; Chen, Yi-Shan; Dubois, Laura G.; Haas, Joel T.; Moseley, Arthur; Valdivia, Raphael H.",Chlamydia trachomatis Infection Leads to Defined Alterations to the Lipid Droplet Proteome in Epithelial Cells,PLOS ONE,J,https://doi.org/10.1371/journal.pone.0124630
"Gomez-Valero, Laura; Rusniok, Christophe; Rolando, Monica; Neou, Mario; Dervins-Ravault, Delphine; Demirtas, Jasmin; Rouy, Zoe; Moore, Robert J.; Chen, Honglei; Petty, Nicola K.; Jarraud, Sophie; Etienne, Jerome; Steinert, Michael; Heuner, Klaus; Gribaldo, Simonetta; Medigue, Claudine; Gloeckner, Gernot; Hartland, Elizabeth L.; Buchrieser, Carmen",Comparative analyses of Legionella species identifies genetic features of strains causing Legionnaires' disease,GENOME BIOLOGY,J,https://doi.org/10.1186/s13059-014-0505-0
"Palacio, S.; Johnson, D.; Escudero, A.; Montserrat-Marti, G.",Root colonisation by AM fungi differs between gypsum specialist and non-specialist plants: Links to the gypsophile behaviour,JOURNAL OF ARID ENVIRONMENTS,J,https://doi.org/10.1016/j.jaridenv.2011.08.019
"McAlpine, Donald F.; Vanderwolf, Karen J.; Forbes, Graham J.; Malloch, David","Consumption of Bats (Myotis spp.) by Raccoons (Procyon lotor) During an Outbreak of White-Nose Syndrome in New Brunswick, Canada: Implications for Estimates of Bat Mortality",CANADIAN FIELD-NATURALIST,J,https://doi.org/10.22621/cfn.v125i3.1231
MAZHAR R; BANO L,A STUDY OF CROSS-INFECTION OF A SPECIES OF COCCIDIA EIMERIA-GARNHAMI,Sarhad Journal of Agriculture,J,NA
"Salzman, Nita H.",Microbiota-immune system interaction: an uneasy alliance,CURRENT OPINION IN MICROBIOLOGY,J,https://doi.org/10.1016/j.mib.2010.09.018
"Andrew, Neil; Basio, M.; Kim, Yonggyun",Additive effect of teratocyte and calyx fluid from Cotesia plutellae on immunosuppression of Plutella xylostella,PHYSIOLOGICAL ENTOMOLOGY,J,https://doi.org/10.1111/j.1365-3032.2006.00524.x
"Comi, R.; Percoco, A.; Molinaro, M. G.; Zanasi, F.",[Foods as a possible vehicle for transmitting Toxocara canis to humans],Rivista di Scienza dell'Alimentazione,J,NA
PURKAYASTHA R P,RESISTANCE OF CROP PLANTS TO FUNGAL DISEASES,Science and Culture,J,NA
"Kelly, Jennifer; Daly, Kristian; Moran, Andrew W.; Ryan, Sheila; Bravo, David; Shirazi-Beechey, Soraya P.",Composition and diversity of mucosa-associated microbiota along the entire length of the pig gastrointestinal tract; dietary influences,ENVIRONMENTAL MICROBIOLOGY,J,https://doi.org/10.1111/1462-2920.13619
"Syrjala, L.; Saloniemi, H.; Laalahti, L.","Composition and volume of the rumen microbiota of sheep fed on grass silage with different sucrose, starch and cellulose supplements.",Journal of the Scientific Agricultural Society of Finland.,J,NA
"Maudlin, I.",Effect of rearing diet on the infection rate in flies released for the control of tsetse populations by sterile males.,Sterile insect technique for tsetse control and eradication.,B,NA
"Bonnah, RA; Lee, SW; Vasquez, BL; Enns, CA; So, M",Alteration of epithelial cell transferrin-iron homeostasis by Neisseria meningitidis and Neisseria gonorrhoeae,CELLULAR MICROBIOLOGY,J,https://doi.org/10.1046/j.1462-5822.2000.00042.x
"Zemenick, Ash T.; Kula, Robert R.; Russo, Laura; Tooker, John",A network approach reveals parasitoid wasps to be generalized nectar foragers,ARTHROPOD-PLANT INTERACTIONS,J,https://doi.org/10.1007/s11829-018-9642-9
"ASHLEY, TR; MITCHELL, ER; LEPPLA, NC; GRISSELL, EE","PARASITES ATTACKING FALL ARMYWORM LARVAE, SPODOPTERA-FRUGIPERDA LEPIDOPTERA, NOCTUIDAE, IN LATE PLANTED FIELD CORN",FLORIDA ENTOMOLOGIST,J,https://doi.org/10.2307/3494665
"Caceres, C. E.; Davis, G.; Duple, S.; Hall, S. R.; Koss, A.; Lee, P.; Rapti, Z.",Complex Daphnia interactions with parasites and competitors,MATHEMATICAL BIOSCIENCES,J,https://doi.org/10.1016/j.mbs.2014.10.002
"Kim, Se-Hun; Chelliah, Ramachandran; Ramakrishnan, Sudha Rani; Perumal, Ayyappasamy Sudalaiyadum; Bang, Woo-Suk; Rubab, Momna; Daliri, Eric Banan-Mwine; Barathikannan, Kaliyan; Elahi, Fazle; Park, Eunji; Jo, Hyeon Yeong; Hwang, Su-Bin; Oh, Deog Hwan",Review on Stress Tolerance in Campylobacter jejuni,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,J,https://doi.org/10.3389/fcimb.2020.596570
"Karakashian, M. W,",Symbiosis in Paramecium bursaria.,Symposia Soc exp Biol,J,NA
"Wang, Shuai; Zhao, Guang-Wei; Wang, Wang; Zhang, Zhen-Chao; Shen, Bo; Hassan, I. A.; Xie, Qing; Yan, Ruo-Feng; Song, Xiao-Kai; Xu, Li-Xin; Li, Xiang-Rui",Pathogenicity of Five Strains of Toxoplasma gondii from Different Animals to Chickens,KOREAN JOURNAL OF PARASITOLOGY,J,https://doi.org/10.3347/kjp.2015.53.2.155
"Kimura, M.; Wang GuangHua; Nakayama, N.; Asakawa, S.",Ecology of viruses in rice fields.,"Proceedings of the 19th World Congress of Soil Science: Soil solutions for a changing world, Brisbane, Australia, 1-6 August 2010. Symposium 2.3.2 Gene expression and proteomics in soil",J,NA
"Brenz, Yannick; Ohnezeit, Denise; Winther-Larsen, Hanne C.; Hagedorn, Monica",Nramp1 and NrampB Contribute to Resistance against Francisella in Dictyostelium,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,J,https://doi.org/10.3389/fcimb.2017.00282
"Vicari, M; Hatcher, PE; Ayres, PG",Combined effect of foliar and mycorrhizal endophytes on an insect herbivore,ECOLOGY,J,https://doi.org/10.2307/3071806
"Wong, Hazel En En; Li, Ming-Shi; Kroll, J. Simon; Hibberd, Martin L.; Langford, Paul R.",Genome Wide Expression Profiling Reveals Suppression of Host Defence Responses during Colonisation by Neisseria meningitides but not N. lactamica,PLOS ONE,J,https://doi.org/10.1371/journal.pone.0026130
"GINSBURG, H; KRUGLIAK, M","QUINOLINE-CONTAINING ANTIMALARIALS - MODE OF ACTION, DRUG-RESISTANCE AND ITS REVERSAL - AN UPDATE WITH UNRESOLVED PUZZLES",BIOCHEMICAL PHARMACOLOGY,J,https://doi.org/10.1016/0006-2952(92)90662-3
"Murphy, C; Carroll, C; Jordan, KN",Environmental survival mechanisms of the foodborne pathogen Campylobacter jejuni,JOURNAL OF APPLIED MICROBIOLOGY,J,https://doi.org/10.1111/j.1365-2672.2006.02903.x
"JONES, HI",ABBREVIATA (NEMATODA PHYSALOPTEROIDEA) FROM WESTERN AUSTRALIAN SNAKES,AUSTRALIAN JOURNAL OF ZOOLOGY,J,https://doi.org/10.1071/ZO9780789
"Chinnapun, D.",Virulence factors involved in pathogenicity of dermatophytes.,Walailak Journal of Science and Technology,J,NA
"Gudivada, Mani; Vankara, Anuprasanna; Hemalatha, M.; Vijayalakshmi, C.","Ecology of Metazoan Parasite Community of Marine Threadfin Fish, Polydactylus sextarius (Bloch and Schneider, 1801) from Visakhapatnam Coast, Bay of Bengal.",Asian Journal of Animal Sciences,J,NA
"Couch, Claire E.; Wise, Benjamin L.; Scurlock, Brandon M.; Rogerson, Jared D.; Fuda, Rebecca K.; Cole, Eric K.; Szcodronski, Kimberly E.; Sepulveda, Adam J.; Hutchins, Patrick R.; Cross, Paul C.",Effects of supplemental feeding on the fecal bacterial communities of Rocky Mountain elk in the Greater Yellowstone Ecosystem,PLOS ONE,J,https://doi.org/10.1371/journal.pone.0249521
"Verna, Caroline; Ramette, Alban; Wiklund, Helena; Dahlgren, Thomas G.; Glover, Adrian G.; Gaill, Francoise; Dubilier, Nicole",High symbiont diversity in the bone-eating worm Osedax mucofloris from shallow whale-falls in the North Atlantic,ENVIRONMENTAL MICROBIOLOGY,J,https://doi.org/10.1111/j.1462-2920.2010.02299.x
"Kondo, Yusuke",Various symbiotic relationships between jellyfish and other animals.,Aquabiology (Tokyo),J,NA
"Glanville, David G.; Mullineaux-Sanders, Caroline; Corcoran, Christopher J.; Burger, Brian T.; Imam, Saheed; Donohue, Timothy J.; Ulijasz, Andrew T.",A High-Throughput Method for Identifying Novel Genes That Influence Metabolic Pathways Reveals New Iron and Heme Regulation in Pseudomonas aeruginosa,MSYSTEMS,J,https://doi.org/10.1128/mSystems.00933-20
"Liu, Shujie; Li, Yongming; Xu, Ziwei",Induction of specific immune responses in piglets by intramuscular immunization with fimbrial adhesin FaeG expressed in Lactococcus lactis,RESEARCH IN VETERINARY SCIENCE,J,https://doi.org/10.1016/j.rvsc.2013.03.004
